"date","datetime","time","open","high","low","close","volumefrom","volumeto"
2013-05-06,2013-05-06T00:00:00Z,1367798400,141.07,142.8,99.21,131.28,51.79,6229.42
2013-05-07,2013-05-07T00:00:00Z,1367884800,134.88,134.88,103.41,115.65,104.2,11544.68
2013-05-08,2013-05-08T00:00:00Z,1367971200,116.94,139.46,90.94,124.82,83.79,9591.04
2013-05-09,2013-05-09T00:00:00Z,1368057600,123.14,153.46,100.13,125.16,70.88,7615.82
2013-05-10,2013-05-10T00:00:00Z,1368144000,119.05,136.38,117.77,127.69,28.01,3457.85
2013-05-11,2013-05-11T00:00:00Z,1368230400,125,126.7,120.82,123.08,16.82,2119.42
2013-05-12,2013-05-12T00:00:00Z,1368316800,124.55,128.44,115.21,120.39,17.08,2120.98
2013-05-13,2013-05-13T00:00:00Z,1368403200,120,127.69,116.89,125.56,109.01,13557.49
2013-05-14,2013-05-14T00:00:00Z,1368489600,126,128.62,121.27,123.82,79.44,9970.36
2013-05-15,2013-05-15T00:00:00Z,1368576000,119.74,127.59,103.46,121.82,94.52,10500.81
2013-05-16,2013-05-16T00:00:00Z,1368662400,121.85,128,110.49,121.37,44,5241.04
2013-05-17,2013-05-17T00:00:00Z,1368748800,110.49,128,110.49,115.12,26.03,3166.43
2013-05-18,2013-05-18T00:00:00Z,1368835200,128,128,120.03,125.88,17.8,2208.73
2013-05-19,2013-05-19T00:00:00Z,1368921600,125.88,138.33,112.4,125.5,23.09,2825.63
2013-05-20,2013-05-20T00:00:00Z,1369008000,124.86,137.12,117.98,118.01,72.08,8964.63
2013-05-21,2013-05-21T00:00:00Z,1369094400,126.41,136.84,119.17,125.38,70.89,8893.67
2013-05-22,2013-05-22T00:00:00Z,1369180800,125.41,127.97,123.52,125,83.95,10581.48
2013-05-23,2013-05-23T00:00:00Z,1369267200,125.98,153.48,120.48,120.48,27.34,3482.05
2013-05-24,2013-05-24T00:00:00Z,1369353600,127.97,140.39,123.36,140.39,26.68,3447.15
2013-05-25,2013-05-25T00:00:00Z,1369440000,131.04,139.01,122.65,136.35,23.88,3124.53
2013-05-26,2013-05-26T00:00:00Z,1369526400,138.84,142.81,131.41,142.52,2.78,387.79
2013-05-27,2013-05-27T00:00:00Z,1369612800,131.86,144.11,112.4,141.61,100.4,13508.67
2013-05-28,2013-05-28T00:00:00Z,1369699200,131.6,144.01,130,136.41,63.16,8595.86
2013-05-29,2013-05-29T00:00:00Z,1369785600,138.11,142.58,134.49,139.1,46.65,6413.61
2013-05-30,2013-05-30T00:00:00Z,1369872000,137.22,140.37,127.89,136.21,31.86,4372.99
2013-05-31,2013-05-31T00:00:00Z,1369958400,135.4,140.2,117.44,136.63,68.81,9142.16
2013-06-01,2013-06-01T00:00:00Z,1370044800,137.2,138.54,128.68,137.1,32.85,4480.28
2013-06-02,2013-06-02T00:00:00Z,1370131200,137.97,137.97,130.19,137.88,16.35,2214.79
2013-06-03,2013-06-03T00:00:00Z,1370217600,128.78,139.58,123.82,126.59,81.95,10482.08
2013-06-04,2013-06-04T00:00:00Z,1370304000,135.46,137.97,124.75,127.21,84.93,11163.5
2013-06-05,2013-06-05T00:00:00Z,1370390400,129.97,131.23,122.91,129.14,93.41,11767.03
2013-06-06,2013-06-06T00:00:00Z,1370476800,129.6,136.69,112.84,112.84,111.33,14181.56
2013-06-07,2013-06-07T00:00:00Z,1370563200,128.68,134.99,115.91,120.15,53.8,6755.13
2013-06-08,2013-06-08T00:00:00Z,1370649600,117.87,127.91,115.21,117.15,73.44,8727.88
2013-06-09,2013-06-09T00:00:00Z,1370736000,117.69,119.74,102.4,115.66,26.51,2958.7
2013-06-10,2013-06-10T00:00:00Z,1370822400,119.74,134.74,109.84,116.5,59.63,7279.43
2013-06-11,2013-06-11T00:00:00Z,1370908800,104.48,129.79,102.4,128.64,45.18,5491.17
